"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Virginia","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8905_virginia_cavaliers-wordmark-2020.png","#00204e","#002d62"
"Virginia Tech","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/virginia_tech_hokies_logo_wordmark_2016_sportslogosnet-6021.png","#74232D","#c2c1ba"
"Wake Forest","ACC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2196_wake_forest_demon_deacons-wordmark-2007.png","#9E7E38","#000000"
"Army","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1039_army_black_knights-wordmark-2015.png","#ce9c00","#231f20"
"Charlotte","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2285_charlotte_49ers-wordmark-2020.png","#0C562D","#cfab7a"
"East Carolina","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/east_carolina_pirates_logo_secondary_2009_sportslogosnet-1391.png","#4b1869","#f0907b"
"Florida Atlantic","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/florida_atlantic_owls_logo_wordmark_2014_sportslogosnet-2808.png","#004B85","#bb2f4c"
"Memphis","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png","#002447","#231f20"
"Navy","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/navy_midshipmen_logo_wordmark_20095936.png","#131630","#b6a77c"
"North Texas","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png","#00853D","#000000"
"Rice","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2538_rice_owls-wordmark-2017.png","#003D7D","#d1d5d8"
"South Florida","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_florida_bulls_logo_secondary_2011_sportslogosnet-7610.png","#004A36","#231f20"
"Temple","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/218.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/temple_owls_logo_wordmark_2020_sportslogosnet-1905.png","#A80532","#a7a9ac"
"Tulane","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6263_tulane_green_wave-wordmark-2014.png","#005837","#3baf29"
"Tulsa","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/202.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tulsa_golden_hurricane_logo_wordmark_2021_sportslogosnet-4838.png","#004371","#ee3b33"
"UAB","American Athletic","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uab_blazers_logo_wordmark_2015_sportslogosnet-3373.png","#003b28","#ffc845"
"UTSA","American Athletic","hoopR","https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png",NA,"#002A5C","#f47321"
"Arizona","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2804_arizona_wildcats-wordmark-2003.png","#002449","#00205b"
"Arizona State","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2342_arizona_state_sun_devils-wordmark-2012.png","#942139","#f1f2f3"
"BYU","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/brigham_young_cougars_logo_wordmark_19992374.png","#001E4C","#ffffff"
"Baylor","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1778_baylor_bears-wordmark-2005.png","#004834","#ffb81c"
"Cincinnati","Big 12","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/cincinnati_bearcats_logo_wordmark_20058032.png","#000000","#717073"
"Colorado","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8028_colorado_buffaloes-wordmark-2006.png","#d1c57e","#ffd200"
"Houston","Big 12","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/houston_cougars_logo_wordmark_20129226.png","#C90822","#231f20"
"Iowa State","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/iowa_state_wordmark.png","#660015","#830b2c"
"Kansas","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1709_kansas_jayhawks-wordmark-2006.png","#0022B4","#e8000d"
"Kansas State","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kansas_state_wildcats_logo_alternate_2019_sportslogosnet-4205.png","#633194","#e7d2ad"
"Oklahoma State","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9181_oklahoma_state_cowboys-wordmark-2001.png","#FF6500","#ff9900"
"TCU","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png","#3C377D","#f1f2f3"
"Texas Tech","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6911_texas_tech_red_raiders-wordmark-2000.png","#C80025","#231f20"
"UCF","Big 12","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/central_florida_knights_logo_wordmark_20076509.png","#000000","#231f20"
"Utah","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4760_utah_utes-wordmark-2015.png","#890012","#7e8083"
"West Virginia","Big 12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/277.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/west_virginia_mountaineers_logo_wordmark_2019_sportslogosnet-4155.png","#FFC600","#eaaa00"
"Illinois","Big Ten","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/356.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/3664_illinois_fighting_illini-wordmark-2014.png","#f77329","#fa6300"
